"","total"
"SQL",236
"Teradata",9
"MySQL",16
"Oracle",17
"Sybase",3
"DB2",1
"PostgresSQL",7
"SAS",60
"Python",125
"PHP",9
"Ruby",8
"Matlab",26
"Java",75
"MongoDB",8
"Hadoop",83
"Spark",43
"SPSS",18
"Tableau",44
"Excel",46
"Statistics",245
"Modeling",133
"Pig",18
"MapReduce",23
"Hive",34
"Weka",3
"UNIXLinux",20
"Scala",34
"AWS",27
"NoSQL",24
"MachineLearning",165
"Perl",17
"Kafka",11
"Visualization",76
"HTML",8
"CSS",4
"PowerPoint",11
"JQuery",1
"JavaScript",12
"Cassandra",3
"Aerospike",1
"Vertica",2
"Zookeeper",2
"JSON",1
"Communication",134
"Interpersonal",28
"Leadership",9
"team",470
"Motivated",25
"ProblemSolving",32
"Creativity",20
"Collaborate",89
"Energetic",1
"Organized",9
"Independent",28
"Listening",6
"Presentation",58
"R",93
